HeatMapData: X   Z
-9.5,-0.0
-9.5,-0.0
-9.5,-0.0
-9.5,-0.0
-9.5,-0.0
-9.5,-0.0
-9.5,-0.0
-0.0,-0.0
-0.0,-0.0
-0.4,-2.7
-0.5,-2.9
-0.5,-2.9
-0.5,-2.9
-0.5,-2.9
0.21,0.24
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.26,0.48
0.38,1.72
0.48,2.79
0.56,3.67
0.62,4.33
0.67,4.87
0.70,5.20
0.72,5.38
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.73,5.45
0.71,6.74
0.69,7.81
0.72,8.67
0.79,9.40
0.66,9.90
0.66,10.2
0.66,10.3
0.66,10.4
0.66,10.4
0.66,10.4
0.66,10.4
0.65,10.4
0.65,10.4
